exchange_timestamp,mid_price,ask_price_1,ask_qty_1,bid_price_1,bid_qty_1,ask_price_2,ask_qty_2,bid_price_2,bid_qty_2,ask_price_3,ask_qty_3,bid_price_3,bid_qty_3,ask_price_4,ask_qty_4,bid_price_4,bid_qty_4,ask_price_5,ask_qty_5,bid_price_5,bid_qty_5,ask_price_6,ask_qty_6,bid_price_6,bid_qty_6,ask_price_7,ask_qty_7,bid_price_7,bid_qty_7,ask_price_8,ask_qty_8,bid_price_8,bid_qty_8,ask_price_9,ask_qty_9,bid_price_9,bid_qty_9,ask_price_10,ask_qty_10,bid_price_10,bid_qty_10
1784626300807000000,0.07352500000000001,0.07353,575073,0.07352,788638,0.07354,436298,0.07351,1074592,0.07355,1205814,0.0735,1950909,0.07356,990095,0.07349,1813936,0.07357,960395,0.07348,2259774,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
1784626300902000000,0.07352500000000001,0.07353,575073,0.07352,788707,0.07354,436298,0.07351,1074592,0.07355,1205814,0.0735,1950909,0.07356,990095,0.07349,1813936,0.07357,960395,0.07348,2259774,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
1784626301112000000,0.07352500000000001,0.07353,575073,0.07352,788894,0.07354,436298,0.07351,1074592,0.07355,1205814,0.0735,1950909,0.07356,990095,0.07349,1813936,0.07357,960395,0.07348,2259774,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
1784626301358000000,0.07352500000000001,0.07353,575073,0.07352,789422,0.07354,436298,0.07351,1074592,0.07355,1205814,0.0735,1950909,0.07356,990095,0.07349,1813936,0.07357,960395,0.07348,2259774,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
1784626301732000000,0.07352500000000001,0.07353,575073,0.07352,789422,0.07354,436298,0.07351,1074592,0.07355,1202273,0.0735,1950909,0.07356,990095,0.07349,1813936,0.07357,960395,0.07348,2259774,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
1784626301812000000,0.07352500000000001,0.07353,575073,0.07352,789430,0.07354,436298,0.07351,1074592,0.07355,1202273,0.0735,1950909,0.07356,990095,0.07349,1813936,0.07357,960395,0.07348,2259774,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
1784626301977000000,0.07350500000000001,0.07351,607712,0.0735,775229,0.07352,1727145,0.07349,1412151,0.07353,1668190,0.07348,1749432,0.07354,863667,0.07347,2119056,0.07355,1371738,0.07346,1802495,0.07356,962965,0.07345,1348501,0.07357,1033699,0.07344,1091981,0.07358,1129824,0.07343,1250041,0.07359,693004,0.07342,968923,0.0736,2728576,0.07341,1554632
1784626302078000000,0.07350500000000001,0.07351,645677,0.0735,885640,0.07352,1722144,0.07349,1412081,0.07353,1729623,0.07348,1965269,0.07354,870459,0.07347,1990572,0.07355,1378471,0.07346,1926374,0.07356,756135,0.07345,1364815,0.07357,1009873,0.07344,1091981,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626302182000000,0.07350500000000001,0.07351,633532,0.0735,869085,0.07352,1722144,0.07349,1412081,0.07353,1732123,0.07348,2001786,0.07354,916723,0.07347,1999557,0.07355,1374930,0.07346,1927435,0.07356,756135,0.07345,1364427,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626302297000000,0.07350500000000001,0.07351,637193,0.0735,869085,0.07352,1722144,0.07349,1412151,0.07353,1729131,0.07348,2009004,0.07354,920052,0.07347,1996613,0.07355,1374930,0.07346,1924076,0.07356,756135,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
